,score
economía,0.14278096513207705
sanidad,0.13695655218346245
educación,0.09919607234188715
vivienda,0.10133232586951552
medio_ambiente,0.13931508333959594
derechos_sociales,0.15494063138267228
seguridad,0.13583657319530767
